datasetname,avg_supp,kl_supp,wkl_supp,avg_usg,kl_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,avg_items,wkl_sum,length_orig,length_final,length_ratio,runtime,beamsize, 
concrete,115.4348,1.7329,106.5863,40.7391,1.868,63.1122,1449.9948,535.5543,0.0631,23,3.2174,1451.5816,6291.9271,5581.8834,0.8872,7.699,10, 
concrete,157.7,1.7278,106.0536,50.55,1.8733,70.8202,1489.7666,626.6571,0.0704,20,3.25,1416.4049,6291.9271,5553.4163,0.8826,58.8992,100, 
concrete,136.0909,1.6861,106.8819,44.7273,1.8122,64.797,1621.8728,565.0317,0.0673,22,3.0909,1425.5345,6291.9271,5563.0208,0.8842,154.6102,300, 
concrete,142.1905,1.663,102.8077,48.0952,1.8462,68.2125,1481.2976,576.1638,0.0653,21,3.1905,1432.4624,6291.9271,5539.887,0.8805,480.634,1000, 
treasury,165.0,2.9801,288.8344,36.069,4.0453,131.1597,391.4527,91.5598,0.0772,29,2.2759,3803.6319,3988.5519,1204.0732,0.3019,3.9239,1, 
treasury,149.4286,2.8961,280.0562,37.4286,4.0458,136.1959,391.3595,94.8372,0.0609,28,2.3571,3813.486,3988.5519,1178.2792,0.2954,6.5315,3, 
treasury,130.2857,3.3045,283.7487,37.3214,3.893,137.4335,368.0093,94.8726,0.0526,28,2.4286,3848.1384,3988.5519,1156.6214,0.29,17.7105,10, 
treasury,138.5862,3.1408,251.8468,36.0345,4.0485,136.5094,297.9649,91.1853,0.0605,29,2.2759,3958.7735,3988.5519,1062.8459,0.2665,164.563,100, 
treasury,138.5862,3.1408,251.8468,36.0345,4.0485,136.5094,297.9649,91.1853,0.0605,29,2.2759,3958.7735,3988.5519,1062.8459,0.2665,445.411,300, 
treasury,123.5714,3.2673,262.3503,37.2143,4.1543,141.7236,305.5266,94.7386,0.0523,28,2.3929,3968.2596,3988.5519,1042.4624,0.2614,1188.3614,1000, 
wizmir,346.8261,2.0526,480.2272,63.4783,2.6532,171.4004,4261.1686,796.6705,0.1508,23,2.3478,3942.2089,8608.5266,5431.0124,0.6309,2.3932,1, 
wizmir,229.381,2.1985,418.8634,68.6667,2.6346,184.9003,3052.8582,865.0549,0.0962,21,2.8571,3882.9065,8608.5266,5485.997,0.6373,3.9419,3, 
wizmir,269.8696,2.1173,430.8837,63.4783,2.6062,171.4861,3148.8995,796.6705,0.0952,23,2.8696,3944.1799,8608.5266,5478.6174,0.6364,10.7862,10, 
wizmir,236.7727,2.1612,419.1634,65.6818,2.6338,178.235,3143.9448,827.8342,0.0872,22,3.1364,3921.1699,8608.5266,5505.9229,0.6396,69.7793,100, 
