datasetname,avg_supp,kl_supp,wkl_supp,avg_usg,kl_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,avg_items,wkl_sum,length_orig,length_final,length_ratio,runtime,maxdepth
treasury,126.9,3.4522,264.5011,34.8333,4.1559,134.5672,314.0043,88.3592,0.0497,30,2.6,4037.0149,3988.5519,1082.526,0.2714,456.0541,10
treasury,126.9,3.4522,264.5011,34.8333,4.1559,134.5672,314.0043,88.3592,0.0497,30,2.6,4037.0149,3988.5519,1082.526,0.2714,467.1628,11
wizmir,571.1818,1.65,636.9235,132.8182,2.2229,304.1696,6177.0927,1666.7117,0.3397,11,1.0,3345.8652,8608.5266,5582.3158,0.6485,0.6262,1
wizmir,377.3889,2.0316,581.617,81.1667,2.5894,210.2109,4482.2035,1018.5461,0.1806,18,1.8333,3783.7968,8608.5266,5387.6193,0.6258,17.7685,2
wizmir,267.1364,2.1516,428.8898,66.3182,2.5855,175.7245,3162.3406,831.837,0.1003,22,2.5,3865.9396,8608.5266,5500.4385,0.639,47.8878,3
wizmir,231.0952,2.2211,364.6975,69.1905,2.6348,186.3755,2788.108,868.7128,0.0687,21,2.8571,3913.8862,8608.5266,5463.9107,0.6347,72.5399,4
wizmir,236.7727,2.1612,419.1634,65.6818,2.6338,178.235,3143.9448,827.8342,0.0872,22,3.1364,3921.1699,8608.5266,5505.9229,0.6396,78.9604,5
wizmir,235.2727,2.1556,414.7443,65.6818,2.6233,178.2234,3121.6698,827.8342,0.0858,22,3.1364,3920.914,8608.5266,5510.7564,0.6402,93.2362,6
wizmir,235.2727,2.1556,414.7443,65.6818,2.6233,178.2234,3121.6698,827.8342,0.0858,22,3.1364,3920.914,8608.5266,5510.7564,0.6402,110.6354,7
wizmir,235.2727,2.1556,414.7443,65.6818,2.6233,178.2234,3121.6698,827.8342,0.0858,22,3.2273,3920.914,8608.5266,5510.374,0.6401,132.9758,8
wizmir,231.7273,2.233,442.7331,66.1818,2.5502,177.7241,3350.252,832.4485,0.0895,22,3.9091,3909.9311,8608.5266,5510.4441,0.6401,154.6446,9
wizmir,231.7273,2.233,442.7331,66.1818,2.5502,177.7241,3350.252,832.4485,0.0895,22,3.9091,3909.9311,8608.5266,5510.4441,0.6401,151.2735,10
wizmir,231.7273,2.233,442.7331,66.1818,2.5502,177.7241,3350.252,832.4485,0.0895,22,3.9091,3909.9311,8608.5266,5510.4441,0.6401,149.6736,11
abalone,1496.3077,0.4044,407.0156,321.3077,0.4732,165.8178,2247.3091,547.4373,0.3398,13,1.0,2155.632,15604.6465,13699.4531,0.8779,2.0891,1
abalone,503.9091,0.8689,302.4765,184.4091,0.8491,127.1426,1039.1961,349.8271,0.055,22,1.9091,2797.1367,15604.6465,13343.5229,0.8551,49.4939,2
abalone,479.7037,1.0349,289.7604,149.6667,0.9659,108.446,949.4381,285.3182,0.0563,27,2.3704,2928.0424,15604.6465,13383.8559,0.8577,134.7244,3
abalone,445.0357,1.052,250.0705,143.8929,0.9593,106.7923,832.2405,274.6408,0.0432,28,2.7143,2990.1834,15604.6465,13384.6154,0.8577,214.0069,4
abalone,369.8077,1.1928,256.1228,152.5385,1.0459,113.4575,740.9855,292.3597,0.0405,26,3.0385,2949.8944,15604.6465,13409.6814,0.8593,274.9523,5
abalone,378.8571,1.1613,243.8829,141.9643,1.0547,106.644,748.6831,273.1433,0.0398,28,2.9643,2986.0327,15604.6465,13405.0621,0.859,348.2559,6
abalone,377.2143,1.1671,242.666,141.0714,1.0615,106.2418,746.1849,272.0596,0.0392,28,3.0,2974.7698,15604.6465,13418.0588,0.8599,420.1181,7
abalone,377.2143,1.1671,242.666,141.0714,1.0615,106.2418,746.1849,272.0596,0.0392,28,3.0357,2974.7698,15604.6465,13418.022,0.8599,513.8607,8
abalone,377.2143,1.1671,242.666,141.0714,1.0615,106.2418,746.1849,272.0596,0.0392,28,3.0357,2974.7698,15604.6465,13418.022,0.8599,495.8736,9
abalone,377.2143,1.1671,242.666,141.0714,1.0615,106.2418,746.1849,272.0596,0.0392,28,3.0357,2974.7698,15604.6465,13418.022,0.8599,505.7071,10
abalone,377.2143,1.1671,242.666,141.0714,1.0615,106.2418,746.1849,272.0596,0.0392,28,3.0357,2974.7698,15604.6465,13418.022,0.8599,498.1733,11
puma32h,3686.5,0.1681,360.6365,819.0,1.0209,565.9177,20.0674,10.1195,0.3225,10,1.0,5659.177,-24571.4795,-29882.9133,0.8223,4.4809,1
puma32h,1698.6,0.4511,526.382,406.8,1.0311,437.2951,15.9755,8.1737,0.1419,20,2.0,8745.9021,-24571.4795,-32494.4773,0.7562,315.2317,2
puma32h,1065.2963,1.0207,658.5592,297.6296,1.3531,408.3246,12.6063,6.6109,0.0661,27,2.8519,11024.7644,-24571.4795,-34327.0285,0.7158,906.0623,3
puma32h,1201.0294,1.2181,729.2255,240.4412,1.4199,332.8879,20.0113,5.3173,0.068,34,3.2941,11318.1894,-24571.4795,-34236.4835,0.7177,1696.6677,4
puma32h,960.4286,1.4749,835.1019,232.5429,1.5483,327.6329,18.2545,5.1253,0.0641,35,4.1714,11467.151,-24571.4795,-34144.4209,0.7196,2538.9571,5
puma32h,909.5135,1.4225,806.7003,219.4865,1.4798,313.0173,19.2224,4.8032,0.0617,37,4.3243,11581.6399,-24571.4795,-34143.3803,0.7197,3149.55,6
puma32h,823.2683,1.4114,710.3797,198.2683,1.4431,285.2119,14.1838,4.3887,0.0449,41,4.4146,11693.688,-24571.4795,-34027.3249,0.7221,4142.7659,7
puma32h,822.8537,1.415,709.0183,198.2683,1.446,285.3542,14.1557,4.3887,0.0446,41,4.4634,11699.5203,-24571.4795,-34026.6152,0.7221,4734.7775,8
puma32h,724.0513,1.4607,699.2111,208.4359,1.4533,296.2727,14.2986,4.579,0.04,39,4.6154,11554.6348,-24571.4795,-33947.5165,0.7238,5379.7731,9
puma32h,724.0513,1.4607,699.2111,208.4359,1.4533,296.2727,14.2986,4.579,0.04,39,4.6154,11554.6348,-24571.4795,-33947.5165,0.7238,6401.9298,10
puma32h,724.0513,1.4607,699.2111,208.4359,1.4533,296.2727,14.2986,4.579,0.04,39,4.6154,11554.6348,-24571.4795,-33947.5165,0.7238,6773.9699,11
ailerons,4547.6667,0.3904,1422.5956,912.7333,0.7116,814.499,0.7196,0.2522,0.2267,15,1.0,12217.4853,-126675.9783,-138595.7953,0.914,10.418,1
ailerons,1335.6,1.0087,1068.4673,160.6,3.4358,182.5875,0.3523,0.0442,0.0458,85,1.9882,15519.9369,-126675.9783,-141126.8266,0.8976,1734.4694,2
ailerons,1090.5079,1.4589,913.7862,109.0873,2.3829,137.8897,0.2695,0.0304,0.0356,126,2.7302,17374.0978,-126675.9783,-141662.9973,0.8942,6037.0638,3
ailerons,682.2467,1.5848,792.4183,90.52,4.9984,132.8603,0.2219,0.0257,0.0278,150,3.3333,19929.0506,-126675.9783,-143039.8993,0.8856,10751.4682,4
ailerons,639.8873,1.8523,743.8566,94.993,5.5724,141.0149,0.2006,0.0266,0.0235,142,3.8099,20024.1198,-126675.9783,-143468.3745,0.883,14745.1225,5
ailerons,634.7679,1.8861,602.9092,81.4226,5.6675,125.6393,0.1746,0.023,0.0185,168,4.0536,21107.4102,-126675.9783,-143840.0654,0.8807,20378.1933,6
ailerons,609.5305,1.803,600.6906,83.4756,4.3899,122.3938,0.1728,0.0233,0.0186,164,4.1402,20072.5785,-126675.9783,-143374.7083,0.8835,24258.1691,7
ailerons,621.8529,1.8441,676.2216,80.4,5.1388,120.8022,0.1888,0.0227,0.0207,170,4.1941,20536.3783,-126675.9783,-143635.3838,0.8819,28538.3146,8
ailerons,624.1302,1.8166,669.123,81.1183,4.4584,121.0406,0.1863,0.0228,0.0194,169,4.2071,20455.8551,-126675.9783,-144617.5442,0.8759,35651.6217,9
ailerons,608.8042,1.7173,582.8761,72.6931,6.6703,119.5932,0.169,0.0205,0.0173,189,4.2751,22603.1061,-126675.9783,-145417.3415,0.8711,42744.2864,10
ailerons,509.0056,1.6852,622.0242,75.7821,4.7238,113.6077,0.1683,0.0216,0.0179,179,4.2011,20335.7752,-126675.9783,-144177.771,0.8786,43924.4952,11
elevators,7363.8,0.3517,1752.2889,827.35,0.6406,615.6926,11.4436,2.8067,0.3475,20,1.0,12313.8525,-85831.7573,-97699.4556,0.8785,9.9222,1
elevators,2129.2182,1.4098,1178.6225,301.7455,1.3636,288.1556,5.0096,1.0967,0.0665,55,1.9636,15848.5573,-85831.7573,-100145.1931,0.8571,922.3681,2
elevators,627.3204,2.795,686.8922,155.0,2.22,183.1731,2.538,0.5985,0.0174,103,2.9223,18866.826,-85831.7573,-101272.974,0.8475,3889.9371,3
elevators,526.3235,2.9113,559.0615,118.4853,2.4333,150.8042,1.89,0.4592,0.013,136,3.7794,20509.372,-85831.7573,-101343.3937,0.8469,7354.6323,4
elevators,447.359,3.2731,503.0295,103.5,2.9976,137.607,1.6854,0.3943,0.0103,156,4.3974,21466.6922,-85831.7573,-101098.7143,0.849,11893.7397,5
elevators,401.5337,3.2398,503.7862,98.362,3.0181,134.2717,1.7962,0.3846,0.0095,163,4.5951,21886.2835,-85831.7573,-101151.4084,0.8485,15057.3757,6
elevators,408.3174,3.2553,455.4938,96.5509,2.7344,131.6289,1.5836,0.3741,0.0092,167,4.8802,21982.0332,-85831.7573,-100870.3526,0.8509,19078.1422,7
elevators,455.6667,3.1983,486.3136,97.8036,3.3182,134.3634,1.751,0.369,0.0097,168,5.1071,22573.0434,-85831.7573,-101175.6167,0.8483,26271.133,8
elevators,359.1976,3.3479,451.1066,95.2036,2.7394,133.0325,1.4583,0.371,0.0086,167,5.2156,22216.4334,-85831.7573,-101179.0271,0.8483,31431.8214,9
elevators,358.9162,3.3392,449.2726,95.2036,2.7402,133.051,1.4528,0.371,0.0086,167,5.2216,22219.5201,-85831.7573,-101178.5923,0.8483,31296.7144,10
elevators,358.8743,3.3399,449.2383,95.2036,2.7412,133.0699,1.4525,0.371,0.0086,167,5.2275,22222.6753,-85831.7573,-101178.3981,0.8483,35799.5969,11
california,6341.5789,0.1949,870.7975,1075.5789,0.4926,587.3262,164421903.4219,74533769.7707,0.2348,19,1.0,11159.1986,389338.2958,378749.7538,0.9728,6.354,1
california,1601.0179,0.7787,907.7565,361.3214,0.8369,285.7555,112766656.4347,26979697.8921,0.0454,56,1.9821,16002.306,389338.2958,375208.6823,0.9637,507.7892,2
